gene	control	dpi1
PDZD2	0	0.879269788
SPTBN2	0	0.027540693
MAST4	0	0.18266436
SEC16A	0	0.017093893
PLXNB2	0	0.12039249
KHNYN	0	0.436001445
SEMA3E	0	0.086587
U2SURP	0	0.1303877
SETD1A	0	0.430319855
KDM6B	0	0.260909978
ZBTB5	0	0.09426013
KIF3B	0	0.10837705
PFAS	0	0.090084295
DCLK1	0	0.10514519
ERC2	0	0.331796423
ANKRD28	0	0.068485823
ARHGEF11	0	0.12897661
KIAA0391	0	0.249158495
CHUK	0	0.326470435
LSM1	0	0.090214225
NPC1	0	0.273693538
DEGS1	0	0.416558643
SCAMP1	0	0.060241723
SCAMP2	0	0.048126085
KPNA5	0	0.135483235
ARPC1B	0	0.222393525
ARPC2	0	0.194497533
ARPC3	0	0.216163038
BET1	0	0.349021293
ZBTB7B	0	0.124086333
POLR1C	0	-0.006263128
PLSCR1	0	0.171861463
TRIM24	0	0.082489725
PGRMC2	0	0.172040663
VILL	0	0.2150975
PFDN6	0	0.341944755
WDR46	0	0.287581123
GSTA4	0	-0.004911185
NKRF	0	0.190101418
GNPAT	0	0.402059828
LAMA5	0	0.066939633
ZNF185	0	0.19129943
CASC3	0	0.135145188
MRPS12	0	0.17108044
NDUFA1	0	0.995447785
CLIC2	0	0.114344545
ACOX3	0	0.33419011
RER1	0	0.533793545
SURF4	0	0.421386813
MAPK13	0	0.323473813
SPTLC1	0	0.352914213
SPTLC2	0	0.30682173
OGT	0	0.104970578
ALOX15B	0	0.150208078
PMM2	0	0.105451543
TM9SF1	0	0.029780245
MID1	0	0.129164365
HMGB3	0	0.208723673
PPM1G	0	0.155312988
INPPL1	0	0.153504663
EIF3D	0	0.088568588
EIF3H	0	0.151502278
HDAC3	0	0.391057435
NVL	0	0.086660423
BCAT2	0	0.099464223
YY2	0	0.163266025
TMPRSS2	0	0.461030875
IPO8	0	-0.020725208
STX7	0	0.010065648
FOXP2	0	0.192193563
SLC16A3	0	0.188860578
ABCC4	0	0.100378905
ABCC5	0	0.233123513
CD3EAP	0	0.410868233
TLR3	0	0.057601495
P4HA2	0	0.195559783
CAPN5	0	0.986259378
YKT6	0	0.1122642
NUPL2	0	0.843202965
ARPC5	0	0.216860835
POLR2D	0	0.372712588
DDX3Y	0	0.143293375
PDPK1	0	0.20916082
TAPBP	0	0.103207243
RNF113A	0	0.466313028
KDM6A	0	0.220293493
CLDN3	0	0.015620573
KCNN4	0	0.14026634
DHX15	0	0.09815315
SGSM2	0	0.125647353
RNMT	0	0.332937145
ZZEF1	0	0.098243735
ASAP2	0	0.442025573
FLRT2	0	0.006389675
PLXNB1	0	0.14160548
RRP8	0	0.229297885
SIPA1L1	0	0.28670153
CYB5B	0	0.262708215
PRPF4	0	0.0798793
PHGDH	0	0.352403033
NDUFS4	0	0.151089905
PHF1	0	0.13277584
GPR39	0	0.11444641
DYNC1LI2	0	0.238979925
PSMD3	0	0.392494793
PAPSS1	0	0.161284065
ZNHIT1	0	0.199105503
ZW10	0	0.10639484
PRODH	0	0.1999467
SPINT1	0	0.086312473
SART1	0	0.040456205
SPINT2	0	0.133052675
GPAA1	0	0.145081308
AP5Z1	0	0.354579175
ZSCAN12	0	1.190740218
PPIP5K2	0	0.1013955
MAP3K7	0	0.143667098
EEF1E1	0	0.37478833
LYRM1	0	0.294207998
HNRNPR	0	0.1086416
PRPF3	0	0.053482015
TXNL1	0	0.084473418
TPD52L2	0	0.044315295
EMC8	0	0.270378153
FIBP	0	0.725691295
EIF4G3	0	0.138944615
PPIH	0	0.154528933
MBTPS2	0	0.147053768
HTRA2	0	0.226332265
AKR7A2	0	0.125178415
EPB41L2	0	0.323544695
TGOLN2	0	0.893057548
LAMTOR5	0	0.32710415
B4GAT1	0	0.162966085
ATP8B1	0	0.273125318
RNF13	0	0.124868543
AKAP10	0	0.066285913
SYT7	0	0.184067565
DENR	0	0.431118993
XPOT	0	0.268492475
DNPH1	0	0.224911525
TIMM44	0	0.095812165
TRAPPC3	0	0.028931713
CHMP2A	0	-0.011868183
NCK2	0	0.117496078
TSPAN6	0	0.97505078
PLRG1	0	0.018861703
PRC1	0	0.244746608
ZNF207	0	0.439781265
NDUFB5	0	0.281989103
NDUFB3	0	0.182046335
NDUFC1	0	0.357342895
NDUFA2	0	0.150078865
ASNA1	0	0.249614253
BUB3	0	0.132219323
AKAP7	0	0.164379168
PPAP2C	0	0.589594265
ACTN4	0	0.17469926
GSTZ1	0	0.004973168
TRIAP1	0	0.101272138
GATC	0	0.166302688
HTATSF1	0	0.145643555
PRKAB2	0	0.37342512
AP1G1	0	0.038798903
STX6	0	-0.042766415
SYNGR2	0	0.193724583
SGTA	0	0.118517858
LIAS	0	0.25042382
ENSA	0	0.054463583
SLC25A20	0	0.44354596
NARS	0	0.155368778
MYO1B	0	0.543397128
SSNA1	0	0.05176631
NUDT21	0	0.350616763
LANCL1	0	0.183998388
STRN	0	0.055909303
RRP9	0	0.235331648
SCO2	0	0.270513113
AKAP8	0	0.364107368
GTPBP6	0	0.182567858
ZBTB14	0	0.555101325
IDH3B	0	0.207069628
NRD1	0	0.484191205
CALU	0	0.20290558
EDIL3	0	0.151605723
ATP9B	0	0.046458838
AHCYL1	0	0.115651288
KIF1C	0	0.083245515
PRICKLE3	0	0.122818905
EXTL3	0	0.14924699
NDUFS5	0	0.125262475
PDE6D	0	1.404093375
ORC4	0	0.071530038
PEX1	0	0.213044283
RAD21	0	0.063234655
TIMM8A	0	0.189866495
DHX16	0	0.0371665
SSSCA1	0	0.18019786
SH3BP5	0	1.17293942
BAI3	0	1.956791596
MED14	0	0.85554244
PRPSAP2	0	0.183281613
SMARCA5	0	0.255421215
KIAA0513	0	0.138114343
SPAG9	0	0.17223691
ZNF292	0	0.162364928
URB1	0	0.222375988
MGRN1	0	0.204290208
SIPA1L3	0	0.139077168
ZFC3H1	0	0.165901895
AQR	0	0.283562623
OPA1	0	0.323061745
MCM3AP	0	0.112861248
KIF1B	0	0.12792347
KDM1A	0	0.317120093
TBC1D4	0	0.430752963
FZD6	0	0.02160909
NME2P1	0	0.923718663
FADS1	0	0.203625255
PPL	0	-0.024924933
DFNA5	0	0.181208685
EVI5	0	0.070344658
MAN1A2	0	0.384501605
PLXNC1	0	0.724973055
MPZL2	0	0.46090329
ACSL4	0	0.31988857
SNX3	0	0.508689025
STX10	0	0.360350355
MGEA5	0	0.181342308
SORBS3	0	0.208893245
SYNCRIP	0	0.081400045
CDC40	0	0.303959675
B4GALT3	0	0.443787658
B4GALT4	0	0.329119695
RANBP6	0	0.151308953
NEMF	0	0.12076263
GMDS	0	0.056571573
CCNT1	0	0.119275088
PLOD3	0	0.272353245
EIF4E2	0	1.07425612
CCNT2	0	0.062344893
TLR2	0	0.19466797
GFRA3	0	0.122146535
DIAPH1	0	0.09879856
15-Sep	0	0.224964088
TSPAN1	0	0.202085378
SNAP91	0	0.242030473
EXOC3	0	0.169528983
PLIN3	0	0.200203205
SLC16A7	0	0.07814316
MAFK	0	0.560898
PRMT3	0	0.15756353
KPNA6	0	0.166996748
SRPX2	0	0.549684513
UGDH	0	0.142597185
CTNND1	0	0.016853683
SNX2	0	0.121976338
DPM1	0	0.288129988
USO1	0	0.04546828
MRPS14	0	0.115665065
TOM1	0	0.12227633
HIST1H2BK	0	1.68966846
PFKFB2	0	0.42081654
CCDC22	0	0.224116345
PQBP1	0	0.013098158
TIMM17B	0	0.530794263
PRAF2	0	0.225210673
DKC1	0	0.15344153
EIF5B	0	0.199137628
EDF1	0	0.301595453
KIN	0	0.080571875
DIAPH2	0	0.052749283
DNAJA2	0	0.167351875
BRD4	0	0.226431385
CUTA	0	0.03157923
HUS1	0	0.0380378
PFDN1	0	0.10968573
PPP1R11	0	0.24434717
NBN	0	0.178134138
NOL3	0	0.195040065
DTNB	0	0.08589092
RNGTT	0	0.226101513
ABCB7	0	0.147908768
PLXNA2	0	0.343208833
IGSF3	0	0.06891519
FAM20B	0	0.222692558
DENND4B	0	0.35799142
EFCAB14	0	0.131306355
WDR1	0	0.255263843
MEGF6	0	0.252569585
LRP4	0	0.133965348
N4BP1	0	0.219204998
ROCK2	0	0.174216115
CLASP2	0	0.035862945
PTCD1	0	0.304365275
CPNE3	0	0.086162695
ZBED4	0	0.205794618
HIP1R	0	0.134907703
OBSL1	0	0.333042193
RNF40	0	0.118611198
PHF2	0	-0.012700933
ZC3H11A	0	0.145359823
CLUH	0	0.239833238
TSC22D2	0	0.280678688
KDM4A	0	0.133568783
DNAJC13	0	0.211160818
PHACTR2	0	0.255949358
PPP6R2	0	0.424586278
CNOT3	0	0.241417198
SS18L1	0	0.204984403
ANKRD17	0	0.134671143
SIN3B	0	0.11043384
DNAJB6	0	0.082974613
TMEM127	0	0.499284993
COQ9	0	0.250668298
GGCT	0	0.32236801
NDUFS7	0	0.156863358
NDUFS2	0	0.37164319
ZPR1	0	0.25959569
DUSP11	0	0.243924095
GBAS	0	0.419717433
PDCD6	0	0.07220037
TBCA	0	0.099563903
ATP6V1G1	0	-0.00064619
VPS4B	0	0.16197155
MPDU1	0	0.155015255
ENTPD3	0	0.187154818
ZNF217	0	0.319566485
H2AFY	0	0.077879505
SH3BGRL	0	0.2192371
FLNB	0	-0.009399563
ZNF737	0	0.307876053
NCOR1	0	0.06425204
NDUFS6	0	0.10001655
PEX14	0	0.75835372
TRIM3	0	0.28980936
CS	0	0.280583648
SPAG7	0	0.065347223
MRPL33	0	0.19829066
SEC22B	0	0.251984913
PRPF40A	0	0.144534315
NME6	0	0.146095825
GIGYF1	0	0.072070885
LRCH4	0	0.08027653
MTX2	0	0.288354855
VPS26A	0	0.274823663
NDUFB1	0	0.00827868
PMPCB	0	0.265220498
MAF	0	0.14594653
SAP30	0	0.239902528
MED24	0	0.293708595
ERN1	0	0.29024411
CRLF1	0	0.11358728
ZNF324	0	0.455601035
PSIP1	0	0.048171838
ERLIN1	0	0.110174545
GPC4	0	0.07407943
NDUFS3	0	0.142947523
SRSF10	0	0.186500275
CLN5	0	0.094958185
HSBP1	0	-0.001640638
ECI2	0	0.075579598
KHDRBS3	0	0.056986978
TADA3	0	0.17027951
TAF5L	0	1.41243761
EED	0	0.225145225
BANF1	0	0.489173955
SF3B1	0	0.118347653
CSDE1	0	0.207899168
WBP4	0	0.323886375
PRKRA	0	0.303356285
MTRF1	0	0.198106095
LRP6	0	0.08108639
RPS6KA5	0	0.06847827
MED6	0	0.621586625
MYCBP2	0	0.054935825
LYPLA1	0	0.28183245
ERAL1	0	0.154448985
CREG1	0	0.27862952
SERPINB7	0	0.214204943
SNRNP200	0	0.213674415
TRMU	0	0.408123285
TIPRL	0	0.254460148
OFD1	0	0.035969028
TOM1L1	0	0.210830263
RPS6KA4	0	0.30310355
SURF6	0	0.195904818
PPM1B	0	0.049019898
UTP20	0	0.174365443
NUP155	0	0.309436168
RP2	0	0.148220625
WDHD1	0	0.35814243
CRTAP	0	0.169160593
SLC25A12	0	0.331732178
ATP6AP2	0	0.406256608
RNASEH2A	0	0.304287103
POP7	0	0.042108153
RPP40	0	0.150580158
ZNF189	0	0.14717236
EIF3G	0	0.143896328
EIF3J	0	0.112491235
PSMD10	0	0.511590993
AP1G2	0	0.026565095
ZMPSTE24	0	0.68371595
SC5D	0	0.456906663
TRAPPC6A	0	0.365536075
IDH1	0	0.077616533
GATB	0	0.340814008
SCO1	0	0.08532113
ATRN	0	0.019166203
RBBP9	0	0.406243885
STAM2	0	1.173258555
TUSC2	0	0.070374455
CCNK	0	0.215013193
ARL6IP5	0	0.397829488
DYSF	0	1.50404712
BCAS2	0	0.15310089
DCTN3	0	0.00302419
DNAJC8	0	0.22769612
SMNDC1	0	0.224175805
RAD17	0	0.12742389
ATP5H	0	0.141715303
TSPAN9	0	0.550909198
FLOT1	0	0.178313615
TRIO	0	0.624984003
ATP5L	0	0.135888328
MPDZ	0	0.054615488
CPD	0	0.298977895
GLRX3	0	0.065138243
RSL1D1	0	0.207275745
WFS1	0	0.032429238
ANXA9	0	0.002617528
CLPX	0	0.311197268
NEBL	0	0.328740753
TM7SF2	0	0.174306415
CIAO1	0	0.1331085
DFFB	0	0.456953635
ZFAND5	0	0.448477885
SRP72	0	0.464292835
JTB	0	0.13168993
DXO	0	0.41481846
DDAH1	0	0.220982725
RECQL5	0	0.142521313
URI1	0	0.047884208
B3GAT3	0	0.171076423
MTA2	0	0.08239873
ALDH1A2	0	0.128558713
ATG12	0	0.062057858
LTN1	0	0.069384055
TOMM70A	0	0.18623366
IPO13	0	0.235236205
DDHD2	0	0.180484015
MYO1D	0	0.27947074
TOX4	0	0.41244285
MICAL2	0	0.100433755
SEC24D	0	0.445249208
SUPT7L	0	0.274645603
UFL1	0	0.117087518
SORBS2	0	0.265197465
TMCC1	0	0.154828925
PHF14	0	0.081669545
TMEM63A	0	0.02133033
FARP2	0	0.31827737
UBXN7	0	0.184632253
SUN1	0	0.18304185
PROSC	0	0.21061161
ERLIN2	0	0.229611823
PRPF6	0	0.098520423
PCF11	0	0.313509693
FRYL	0	0.028161175
ENDOD1	0	0.116842878
GLCE	0	0.26456232
GLS	0	0.366274433
KDM4B	0	0.312399835
USP19	0	0.311693188
AP2A2	0	0.1206313
SEC31A	0	0.050330873
CLSTN1	0	0.213875038
CEP152	0	0.867982303
FAM13A	0	0.036752283
HEXIM1	0	0.128148815
TJP3	0	0.031419313
YIF1A	0	0.300972638
UBR5	0	0.057473013
PRSS23	0	0.264826843
SCAF4	0	0.19785749
NDUFB6	0	0.124777358
MFN2	0	0.123593005
SNUPN	0	-0.011741323
UBE4B	0	0.046129628
ZFPL1	0	0.15740185
IKBKAP	0	0.227750453
GABARAP	0	0.13536957
NDUFA3	0	0.152086843
NDUFB4	0	0.182527785
NDUFB8	0	0.085777103
SCEL	0	0.099771005
NDUFB2	0	0.393496435
NDUFA7	0	0.222357475
RTN3	0	1.781166293
LETM1	0	0.351104733
EPN2	0	0.129414855
STBD1	0	0.044472768
ZRANB2	0	0.309133353
SNX4	0	0.030774075
LUC7L3	0	0.14286248
KIF20A	0	0.21281349
KIF4A	0	0.109833685
SBF1	0	0.037306095
GOSR1	0	0.070535285
KAT7	0	0.58403981
ATE1	0	0.151609808
VAPB	0	0.012124773
SNAPIN	0	0.327168395
MPZL1	0	0.206443235
NDUFC2	0	0.453676108
NDUFA10	0	0.613065358
FKBP9	0	0.51426593
CELF2	0	0.124524288
PGLS	0	0.230108835
PAPSS2	0	0.027357323
SMC2	0	0.156413553
ATG7	0	0.253701998
TACC2	0	0.10352233
FARS2	0	0.23053637
ZBTB7A	0	0.273802995
LYPLA2	0	0.10173461
IPO7	0	0.098859485
ARIH2	0	0.094958245
TNFAIP8	0	0.124655858
SLU7	0	0.302439003
PGM3	0	0.087608445
MOCS3	0	0.259850323
UTS2	0	0.214412163
CD2BP2	0	0.32931923
SVIL	0	0.074745035
AHSA1	0	0.107156548
SLC34A2	0	0.616337775
PARN	0	0.04156614
PSMG1	0	0.08237676
SGPL1	0	0.14104155
CLDN7	0	2.587395708
ABCA1	0	0.023942498
NSA2	0	0.044552548
H6PD	0	0.211829285
SEC24A	0	0.13877398
SEC24B	0	0.081137883
TDP2	0	0.302561608
SFT2D2	0	0.08040508
MPC2	0	0.951593185
ETHE1	0	0.139456973
ACSL3	0	0.254642755
POLR1A	0	0.279060375
PCNT	0	0.260128245
YEATS4	0	0.08916962
ZBTB11	0	0.375728115
CNOT4	0	0.163190305
STAMBP	0	0.0521302
NTN1	0	0.137836153
CPSF4	0	0.607015683
ASMTL	0	0.325810355
BRD1	0	0.157475628
POP4	0	0.045538063
HERC2	0	0.441168438
RAB3D	0	0.352160708
SNAP29	0	0.061286918
OXSR1	0	0.183632165
GGPS1	0	0.548811003
HSPA4L	0	0.238122558
PTBP3	0	0.187769675
STARD3NL	0	0.136879688
LSM8	0	0.42982087
AP2A1	0	0.181748395
WIZ	0	0.179593613
DDX58	0	0.09375656
STAU1	0	0.053018113
TTC4	0	0.237986598
SDPR	0	0.034004483
BAG2	0	0.016511088
BAG3	0	0.04832073
MAP4K4	0	-0.054598655
MLYCD	0	0.05713407
CRYZL1	0	0.041018568
AIFM1	0	0.169958988
CLIC3	0	0.384811063
EML2	0	0.323312823
NUDT14	0	0.26835461
TSPAN13	0	0.137230398
BPNT1	0	0.043086905
FADS2	0	0.197381373
DDAH2	0	0.15476302
ABHD16A	0	0.13365223
C6ORF47	0	0.865564645
TXNDC12	0	0.11549062
TRUB2	0	0.4445986
ECD	0	0.136134875
SYF2	0	1.203909358
MBD3	0	0.400371423
TOP3B	0	0.458531795
NUDT3	0	0.48614086
AGR2	0	0.214035438
BCL10	0	0.190911945
NDUFB10	0	0.13520469
CLPTM1	0	0.274302745
ZBED1	0	0.199797765
TOMM40	0	0.151403013
NAPSA	0	0.180471558
PEX11B	0	0.117071128
PAK4	0	0.057676555
CHEK2	0	0.190248803
ACTL6A	0	0.058730625
WHSC1	0	0.441173828
MOCS2	0	0.125328058
CYB5A	0	0.210453793
LDHA	0	0.236777243
ALDH1A1	0	0.048860883
GLUD1	0	0.09647082
CYB5R3	0	0.4676864
GSR	0	0.019016713
MT-CO2	0	0.20590196
SOD1	0	0.190034708
CP	0	0.0925859
PNP	0	0.210774995
HPRT1	0	0.382464745
GOT2	0	0.301796095
ABL1	0	0.11403246
EGFR	0	0.36381418
PGK1	0	0.1811178
AK1	0	0.032793295
C1R	0	0.169383115
CA2	0	0.050502
C3	0	1.125476295
CST3	0	2.89e-05
NRAS	0	0.170304235
HRAS	0	0.121633545
KRAS	0	0.167323705
LDLR	0	0.198645168
INS	0	0.37265877
IGF2	0	0.337480233
HLA-A	0	0.424287498
HLA-A	0	0.118050325
HLA-DQB1	0	0.72614693
COL2A1	0	0.48397759
COL4A1	0	0.053545923
LMNA	0	0.166087618
APOE	0	0.581343183
FN1	0	0.33183556
TFRC	0	0.17552462
TF	0	0.154314223
HPX	0	0.194533255
FTL	0	0.299346975
FTH1	0	0.429386923
MT-ATP8	0	0.199604268
SLPI	0	0.294760955
HMGCR	0	0.162295438
RAF1	0	0.143437663
GBA	0	0.091112905
FUCA1	0	0.352414418
ALDOA	0	0.201190058
CSTB	0	0.587539345
ANXA1	0	0.141882443
SOD2	0	1.065833183
OAT	0	0.494723673
GAPDH	0	0.06945129
ASL	0	0.157000228
HLA-DPB1	0	0.531689498
ERBB2	0	0.256975453
CAPNS1	0	0.09806702
HSPB1	0	-0.003515043
TYMS	0	0.255271765
RPN1	0	0.226077245
RPN2	0	0.406622155
GNAI2	0	0.317504138
SLC4A2	0	0.188703355
ATP1A1	0	0.27702622
ATP1B1	0	0.056550088
APP	0	0.251542148
APOD	0	0.10233723
ALDH2	0	0.187260805
INHA	0	0.291801198
HMGN1	0	0.348931578
SLC25A5	0	0.175907128
CFI	0	0.327528198
PCCA	0	0.0947752
PCCB	0	0.272719045
ALPL	0	0.404141098
ALPP	0	0.342180543
EIF2S1	0	0.11076709
HMGN2	0	0.940553943
ICAM1	0	0.227887438
RPLP1	0	0.159362508
RPLP2	0	0.382151928
RPLP0	0	0.04739416
FABP3	0	0.047001198
POLR3D	0	0.087619745
SSB	0	0.132418943
ITGB1	0	0.225672155
KRT18	0	0.1337213
MYL1	0	0.110951905
UROD	0	0.282779968
INSR	0	0.07846677
GLA	0	0.300577843
RB1	0	0.337762645
PTMA	0	0.23166512
CDK1	0	0.491940558
ATP5B	0	0.05277582
S100A6	0	0.133190583
EIF4E	0	0.30450155
CEACAM5	0	0.57319278
ENO1	0	0.344630768
PYGL	0	0.60227391
GPI	0	0.080669605
POLB	0	0.26554288
NPM1	0	0.106371193
TPM3	0	0.12594519
ITGAV	0	0.20727352
LPL	0	0.233712203
HEXA	0	0.113478748
EPHX1	0	0.270691173
DBI	0	0.462915825
LDHB	0	0.123044443
CENPB	0	0.209571063
GPX1	0	0.021418793
THBD	0	0.14848118
PGK2	0	0.042489745
PROS1	0	0.030251585
P4HB	0	0.118232508
H1F0	0	0.399195028
ACYP1	0	0.29727907
CTSD	0	0.217667655
ANXA2	0	0.267308038
CAPN1	0	0.184052613
TUBB	0	0.24716533
PSAP	0	0.013380673
HEXB	0	0.20231787
CTSL	0	0.259178413
PFN1	0	0.157311145
BPGM	0	0.134130518
APRT	0	0.35028095
EPRS	0	0.061064968
CTSB	0	0.05070844
HSP90AA1	0	0.03293757
GALT	0	0.107265605
HNRNPC	0	0.211320478
UQCRH	0	0.16711707
LAMB1	0	0.321389078
YES1	0	0.103539043
LYN	0	0.165640205
FH	0	0.256445533
SFTPB	0	0.335563433
RNASE1	0	0.01793381
SP1	0	-0.033440553
ZFY	0	-0.131738098
IGF1R	0	0.052121683
ANXA6	0	0.156018545
RHOC	0	0.133808078
CD55	0	0.20622291
SLC3A2	0	0.267946205
GUSB	0	0.268211478
PFKM	0	0.030924135
HSP90AB1	0	0.171164963
SRPR	0	0.13982235
ASNS	0	0.088452438
GSTA1	0	0.20467857
SOD3	0	0.474043568
HMBS	0	0.255367463
MME	0	0.317893265
PDHA1	0	0.18669897
CYC1	0	0.213204063
SNRPB2	0	0.135514428
MET	0	0.124687985
CFH	0	0.13178953
SNRNP70	0	0.09549512
VIM	0	0.08671849
SERPINF2	0	0.191532763
RPS17	0	0.346830033
KRT19	0	0.193251218
